Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (Cumulative)
c:\Users\birik\anaconda3\Lib\contextlib.py:132(__enter__),2,2,2.1000000000000002e-06,1.0500000000000001e-06,7.6e-06,3.8e-06
c:\Users\birik\anaconda3\Lib\contextlib.py:104(__init__),2,2,7.8e-06,3.9e-06,8.3e-06,4.15e-06
c:\Users\birik\anaconda3\Lib\contextlib.py:287(helper),2,2,4.4e-06,2.2e-06,1.27e-05,6.35e-06
c:\Users\birik\anaconda3\Lib\contextlib.py:141(__exit__),2,2,3.9e-06,1.95e-06,6.1e-06,3.05e-06
c:\Users\birik\anaconda3\Lib\typing.py:2256(cast),4,4,5.000000000000001e-07,1.2500000000000002e-07,5.000000000000001e-07,1.2500000000000002e-07
c:\Users\birik\anaconda3\Lib\site-packages\traitlets\traitlets.py:629(get),2,2,3.6000000000000003e-06,1.8000000000000001e-06,3.9e-06,1.95e-06
c:\Users\birik\anaconda3\Lib\site-packages\IPython\core\interactiveshell.py:3541(run_code),2,2,1.1900000000000001e-05,5.950000000000001e-06,1.1521455,0.57607275
c:\Users\birik\anaconda3\Lib\site-packages\traitlets\traitlets.py:676(__get__),2,2,8.200000000000001e-06,4.1000000000000006e-06,1.23e-05,6.15e-06
c:\Users\birik\anaconda3\Lib\site-packages\IPython\core\compilerop.py:180(extra_flags),4,4,4.3e-06,1.075e-06,4.3e-06,1.075e-06
c:\Users\birik\anaconda3\Lib\codeop.py:117(__call__),2,2,7.5e-06,3.75e-06,6.37e-05,3.185e-05
c:\Users\birik\anaconda3\Lib\site-packages\IPython\core\interactiveshell.py:3493(compare),2,2,2.9e-06,1.45e-06,2.9e-06,1.45e-06
c:\Users\birik\anaconda3\Lib\site-packages\IPython\core\interactiveshell.py:1277(user_global_ns),2,2,1.3e-06,6.5e-07,1.3e-06,6.5e-07
c:\Users\birik\github\SOGA\src\libSOGA.py:53(SOGA),227,227,0.025740700000000002,0.00011339515418502203,1.1486936,0.00506032422907489
c:\Users\birik\github\SOGA\src\libSOGAtruncate.py:197(enterMonom),88,88,0.0017222000000000001,1.9570454545454547e-05,0.0037300000000000002,4.238636363636364e-05
c:\Users\birik\github\SOGA\src\producecfg.py:48(set_dist),182,182,0.0023303,1.2803846153846154e-05,0.0023303,1.2803846153846154e-05
c:\Users\birik\anaconda3\Lib\site-packages\antlr4\Token.py:36(__init__),1574,1574,0.0009753,6.196315120711563e-07,0.0009753,6.196315120711563e-07
c:\Users\birik\github\SOGA\src\libSOGA.py:26(start_SOGA),1,1,0.0023943000000000002,0.0023943000000000002,1.1516915,1.1516915
c:\Users\birik\anaconda3\Lib\site-packages\antlr4\tree\Tree.py:143(walk),150,2827,0.004700500000000001,1.6627166607711357e-06,0.051272700000000004,0.000341818
c:\Users\birik\anaconda3\Lib\site-packages\antlr4\Lexer.py:46(__init__),150,150,0.0008891000000000001,5.927333333333334e-06,0.0011393,7.595333333333333e-06
